1,65,31,16,2,-999,3,3,0,0,0,1,0,0,8,0,3,0,0,0,31,0,35,1.098612
3,32,71,8,3,3,1,-999,1,0,0,1,0,1,11.52055,0,6,0,0,1,43.88858,1,41.54401,1.791759
6,42,40,6,2,-999,2,-999,0,1,0,0,0,0,8,0,8,0,0,0,45,1,41.54401,2.484907
7,51,46,16,2,2,2,3,1,1,0,0,0,0,12,0,16,0,0,0,45,0,66,1.098612
8,66,80,15,2,2,1,-999,1,1,0,0,0,0,9,0,12,0,0,0,40,0,23,1.098612
11,25,31,14,2,-999,2,1,1,1,0,0,0,0,8,0,8,0,0,0,29,0,47,1.94591
13,22,58,12,2,1,2,2,0,1,0,0,0,1,11.52055,0,16,0,0,1,43.88858,0,31,1.609438
17,46,80,14,2,3,3,-999,1,0,0,0,0,0,12,0,8,0,0,0,45,1,41.54401,1.386294
18,28,84,9,2,-999,3,-999,1,0,0,0,0,0,0,0,0,1,1,0,37,0,28,1.098612
20,36,35,16,3,-999,2,1,0,0,0,0,0,1,11.52055,0,12,0,0,1,43.88858,0,42,.6931472
22,28,56,13,1,1,2,1,0,0,0,0,0,0,12,0,14,0,0,0,30,0,34,1.386294
23,32,88,10,2,3,3,-999,1,1,0,0,0,0,8,0,12,0,0,0,40,1,41.54401,2.70805
25,22,35,17,2,-999,3,1,1,0,0,0,0,1,11.52055,0,17,0,0,1,43.88858,0,66,1.386294
26,44,26,16,2,1,3,1,1,0,0,1,0,0,8,0,8,0,0,0,35,0,22,1.098612
28,24,21,14,2,-999,2,2,1,0,1,0,0,1,11.52055,0,8,0,0,1,43.88858,0,36,.6931472
29,34,33,16,3,2,2,2,1,0,0,0,0,0,12,0,12,0,0,0,42,1,41.54401,.6931472
30,58,53,16,2,-999,4,1,1,0,0,0,0,0,16,0,16,0,0,0,47,0,66,1.098612
31,58,63,20,1,2,4,2,1,0,0,0,0,0,20,0,16,0,0,0,86,1,41.54401,1.098612
32,61,34,18,2,2,3,-999,0,0,0,0,0,0,16,0,16,0,0,0,72,0,59,.6931472
34,42,78,16,1,1,3,-999,1,0,0,0,0,0,14,0,14,0,0,0,32,1,41.54401,1.791759
35,51,57,15,2,1,3,2,0,0,0,1,0,0,12,0,12,0,0,0,39,1,41.54401,1.609438
36,51,43,18,1,-999,3,2,0,0,0,0,0,0,16,0,16,0,0,0,32,1,41.54401,.6931472
37,46,84,16,1,1,3,1,1,0,0,0,0,0,16,0,10,0,0,0,51,0,51,.6931472
38,39,53,16,2,2,2,3,0,0,0,0,0,0,17,0,18,0,0,0,69,0,86,.6931472
39,24,83,13,2,-999,3,-999,1,0,0,0,0,0,8,0,12,0,0,0,47,0,47,.6931472
41,58,24,17,2,1,3,1,0,0,0,0,0,0,18,0,14,0,0,0,48,1,41.54401,1.386294
43,22,23,13,2,3,2,4,1,0,0,0,0,0,12,1,11.58354,0,0,0,28,1,41.54401,.6931472
44,47,25,17,2,-999,3,3,0,0,0,1,0,1,11.52055,0,18,0,0,1,43.88858,0,86,1.386294
