morale1,morale2,morale3,belong1,belong2,belong3,classyr,female,fratsor,athletic,othorg,religact,polviews,race,gpa,loyal1,loyal2,loyal3
10,10,10,10,10,10,85,Female,1,1,1,0,4,0,2.9,0,0,9
5,7,5,5,7,7,85,Male,0,1,1,0,1,0,3,5,2,7
8,9,9,8,7,7,85,Female,0,0,2,1,5,0,3.54,0,2,5
10,10,10,7,7,7,85,Female,0,0,1,0,3,0,3.5,0,7,8
3,8,8,8,8,8,86,Male,1,0,1,0,6,0,3.31,1,1,5
8,9,9,8,5,9,87,Male,1,1,1,0,4,3,3.1,1,0,9
9,10,10,9,9,9,86,Male,1,1,2,0,3,3,2.08,0,1,10
7,10,10,8,8,8,88,Male,0.5,1,0,1,6,0,,0,2,8
9,10,10,9,10,10,85,Male,1,0,0,1,3,0,3.1,0,0,10
10,10,10,10,10,10,87,Male,1,1,3,1,7,0,2.9,0,0,10
10,9,9,7,0,10,88,Male,1,1,1,1,5,0,,0,7,0
9,9,9,8,5,9,85,Male,1,1,1,1,5,0,3.11,0,0,8
7,6,9,6,5,7,86,Female,1,1,0,1,5,0,2.73,2,0,7
10,10,10,9,10,10,88,Male,0.5,0,2,1,3,0,2.8,0,0,0
8,9,7,9,8,7,85,Female,1,0,3,0,4,0,3.3,2,2,8
10,10,10,8,9,9,87,Male,1,0,0,0,4,0,3.7,0,2,1
8,10,9,9,6,7,85,Male,1,1,1,0,2,0,3.3,0,2,5
8,8,10,6,7,9,85,Female,0,0,4,0,2,0,3.1,0,5,8
9,10,10,9,9,8,88,Female,0.5,1,0,1,6,0,3,0,9,8
10,10,10,10,9,0,86,Male,1,1,0,1,6,0,3.6,0,0,9
10,10,9,9,9,9,88,Female,0,1,0,1,5,0,3.1,1,0,10
9,9,10,8,9,9,86,Male,0,0,0,0,4,0,3.65,0,1,9
1,3,2,1,1,0,87,Female,0,0,0,0,1,0,3.5,5,3,3
8,8,8,7,8,8,86,Female,1,0,0,0,5,0,3.1,1,7,8
