65,31,16,0,0,0,1,0,0,8,0,3,0,0,0,31,0,35,1.098612
32,71,8,1,0,0,1,0,1,11.52055,0,6,0,0,1,43.88858,1,41.54401,1.791759
42,40,6,0,1,0,0,0,0,8,0,8,0,0,0,45,1,41.54401,2.484907
51,46,16,1,1,0,0,0,0,12,0,16,0,0,0,45,0,66,1.098612
66,80,15,1,1,0,0,0,0,9,0,12,0,0,0,40,0,23,1.098612
25,31,14,1,1,0,0,0,0,8,0,8,0,0,0,29,0,47,1.94591
22,58,12,0,1,0,0,0,1,11.52055,0,16,0,0,1,43.88858,0,31,1.609438
46,80,14,1,0,0,0,0,0,12,0,8,0,0,0,45,1,41.54401,1.386294
28,84,9,1,0,0,0,0,0,0,0,0,1,1,0,37,0,28,1.098612
36,35,16,0,0,0,0,0,1,11.52055,0,12,0,0,1,43.88858,0,42,.6931472
28,56,13,0,0,0,0,0,0,12,0,14,0,0,0,30,0,34,1.386294
32,88,10,1,1,0,0,0,0,8,0,12,0,0,0,40,1,41.54401,2.70805
22,35,17,1,0,0,0,0,1,11.52055,0,17,0,0,1,43.88858,0,66,1.386294
44,26,16,1,0,0,1,0,0,8,0,8,0,0,0,35,0,22,1.098612
24,21,14,1,0,1,0,0,1,11.52055,0,8,0,0,1,43.88858,0,36,.6931472
34,33,16,1,0,0,0,0,0,12,0,12,0,0,0,42,1,41.54401,.6931472
58,53,16,1,0,0,0,0,0,16,0,16,0,0,0,47,0,66,1.098612
58,63,20,1,0,0,0,0,0,20,0,16,0,0,0,86,1,41.54401,1.098612
61,34,18,0,0,0,0,0,0,16,0,16,0,0,0,72,0,59,.6931472
42,78,16,1,0,0,0,0,0,14,0,14,0,0,0,32,1,41.54401,1.791759
51,57,15,0,0,0,1,0,0,12,0,12,0,0,0,39,1,41.54401,1.609438
51,43,18,0,0,0,0,0,0,16,0,16,0,0,0,32,1,41.54401,.6931472
46,84,16,1,0,0,0,0,0,16,0,10,0,0,0,51,0,51,.6931472
39,53,16,0,0,0,0,0,0,17,0,18,0,0,0,69,0,86,.6931472
24,83,13,1,0,0,0,0,0,8,0,12,0,0,0,47,0,47,.6931472
58,24,17,0,0,0,0,0,0,18,0,14,0,0,0,48,1,41.54401,1.386294
22,23,13,1,0,0,0,0,0,12,1,11.58354,0,0,0,28,1,41.54401,.6931472
47,25,17,0,0,0,1,0,1,11.52055,0,18,0,0,1,43.88858,0,86,1.386294
38,37,13,1,0,0,1,0,0,8,0,8,0,0,0,35,1,41.54401,1.609438
31,45,12,0,0,0,0,0,0,6,0,12,0,0,0,73,0,46,1.386294
36,40,12,1,0,0,1,0,0,6,0,4,0,0,0,36,1,41.54401,1.609438
52,80,16,0,1,0,0,0,0,12,0,12,0,0,0,28,0,47,0
64,60,15,0,0,0,0,0,0,16,0,12,0,0,0,64,0,60,1.098612
74,49,16,0,0,0,0,0,0,12,0,12,0,0,0,49,0,42,1.098612
52,22,15,1,0,0,0,0,1,11.52055,0,12,0,0,1,43.88858,0,50,.6931472
64,63,20,1,0,0,0,0,0,12,0,12,0,0,0,23,1,41.54401,1.791759
35,72,16,0,0,0,0,0,0,8,0,12,0,0,0,51,1,41.54401,1.098612
47,42,14,1,1,0,0,0,1,11.52055,0,11,0,0,1,43.88858,0,36,2.639057
66,54,16,1,1,0,0,0,0,14,0,12,0,0,0,44,1,41.54401,2.079442
43,21,13,1,1,0,0,0,0,12,0,13,0,0,0,32,0,31,1.791759
51,26,16,1,0,0,0,0,0,13,0,17,0,0,0,51,0,66,1.098612
22,41,14,1,0,0,1,0,0,6,0,4,0,0,0,28,0,17,1.098612
32,34,16,0,0,0,0,0,0,12,0,14,0,0,0,51,0,51,1.098612
59,44,16,1,0,0,0,0,0,16,0,12,0,0,0,53,1,41.54401,1.386294
32,45,12,0,0,0,0,0,0,12,0,12,0,0,0,60,1,41.54401,.6931472
45,28,9,0,0,0,0,0,0,12,1,11.58354,0,0,0,45,1,41.54401,1.386294
